cab_types,date_part,number_of_trips
Green_Cab,0,453598
Green_Cab,1,357979
Green_Cab,2,264903
Green_Cab,3,205989
Green_Cab,4,169286
Green_Cab,5,108988
Green_Cab,6,134047
Green_Cab,7,257132
Green_Cab,8,381237
Green_Cab,9,393992
Green_Cab,10,370518
Green_Cab,11,367000
Green_Cab,12,371945
Green_Cab,13,380904
Green_Cab,14,436629
Green_Cab,15,485511
Green_Cab,16,527164
Green_Cab,17,583934
Green_Cab,18,653076
Green_Cab,19,657371
Green_Cab,20,611061
Green_Cab,21,585695
Green_Cab,22,565640
Green_Cab,23,529436
Uber,0,599921
Uber,1,393194
Uber,2,259817
Uber,3,183078
Uber,4,172224
Uber,5,192325
Uber,6,286596
Uber,7,440324
Uber,8,578871
Uber,9,589214
Uber,10,516905
Uber,11,513675
Uber,12,529918
Uber,13,534859
Uber,14,581118
Uber,15,645843
Uber,16,733024
Uber,17,859115
Uber,18,981272
Uber,19,1001657
Uber,20,943182
Uber,21,924507
Uber,22,917205
Uber,23,810058
Yellow_Cab,0,2938251
Yellow_Cab,1,2149362
Yellow_Cab,2,1579336
Yellow_Cab,3,1164631
Yellow_Cab,4,861403
Yellow_Cab,5,796420
Yellow_Cab,6,1704859
Yellow_Cab,7,2870211
Yellow_Cab,8,3488758
Yellow_Cab,9,3571726
Yellow_Cab,10,3501248
Yellow_Cab,11,3636491
Yellow_Cab,12,3797337
Yellow_Cab,13,3757551
Yellow_Cab,14,3877769
Yellow_Cab,15,3692400
Yellow_Cab,16,3195961
Yellow_Cab,17,3813525
Yellow_Cab,18,4604001
Yellow_Cab,19,4753029
Yellow_Cab,20,4496559
Yellow_Cab,21,4449391
Yellow_Cab,22,4286161
Yellow_Cab,23,3745488
