cab_types,date_trunc,number_of_trips
Green_Cab,2014-04-01 00:00:00,1309155
Green_Cab,2014-05-01 00:00:00,1421503
Green_Cab,2014-06-01 00:00:00,1337759
Green_Cab,2014-07-01 00:00:00,1273973
Green_Cab,2014-08-01 00:00:00,1344941
Green_Cab,2014-09-01 00:00:00,1323166
Uber,2014-04-01 00:00:00,564516
Uber,2014-05-01 00:00:00,652435
Uber,2014-06-01 00:00:00,663844
Uber,2014-07-01 00:00:00,796121
Uber,2014-08-01 00:00:00,829275
Uber,2014-09-01 00:00:00,994712
Yellow_Cab,2014-04-01 00:00:00,14618759
Yellow_Cab,2014-05-01 00:00:00,14774041
Yellow_Cab,2014-06-01 00:00:00,13813029
Yellow_Cab,2014-07-01 00:00:00,13106365
Yellow_Cab,2014-08-01 00:00:00,12688877
Yellow_Cab,2014-09-01 00:00:00,12938718
